#n_killed,n_injured,latitude,longitude,gun_involved,district
0,4,40.3467,79.8559,0,0
1,3,33.909,118.333,0,62
1,3,41.4455,82.1377,2,56
1,0,39.6518,104.802,0,40
1,2,36.114,79.9569,2,62
1,0,36.2405,95.9768,0,72
1,0,34.9791,106.716,2,10
0,5,29.9435,90.0836,0,93
0,4,37.9656,121.718,0,11
1,6,39.2899,76.6412,0,0
1,3,35.0221,85.2697,1,28
1,3,38.7067,90.2494,1,76
1,3,29.8816,91.5251,1,50
0,5,38.8978,76.9717,1,0
1,3,39.9252,83.8218,0,79
0,5,35.0803,89.8871,1,84
1,3,39.1236,121.583,1,3
0,4,41.7592,87.5628,0,25
0,4,29.9563,90.0676,1,93
1,4,38.1072,122.228,0,14
1,2,39.7407,75.5499,1,2
1,1,40.6008,111.903,0,44
1,3,33.8031,117.943,1,72
1,3,36.1722,95.8778,0,77
0,4,42.9371,85.6853,0,76
0,4,34.6666,118.131,0,36
0,8,32.826,83.6704,0,142
1,3,32.442,93.7726,0,3
1,2,31.1824,83.7912,1,172
0,4,43.3944,83.9082,0,95
1,3,37.0857,120.828,1,21
1,3,39.7927,86.0328,0,100
1,2,32.2649,90.2141,1,71
0,5,38.955,94.5211,1,27
0,13,38.9062,77.0099,4,0
1,2,33.2498,117.309,0,76
1,2,43.011,75.0058,1,101
0,4,37.626,121.011,0,21
0,7,38.2436,121.312,0,9
1,3,37.9531,121.266,0,13
0,5,26.6968,80.6837,0,81
0,7,41.7358,87.6631,0,35
1,3,39.0383,94.5849,1,25
1,3,40.5803,74.0005,0,46
1,2,37.3603,120.654,0,21
1,2,47.3149,122.224,0,47
1,4,34.1868,82.1638,0,12
1,3,40.9018,73.8511,0,81
1,3,33.8479,118.19,0,63
1,3,39.9924,75.13,0,0
0,4,38.1519,122.261,0,14
1,4,33.5985,112.113,0,28
1,4,38.0485,84.453,0,0
1,0,41.1102,81.4771,1,34
1,0,47.303,122.31,2,30
0,4,41.7906,87.6418,0,6
0,5,29.8736,90.0568,3,87
1,1,39.5417,90.3301,2,100
0,4,41.2927,82.2347,1,56
1,3,29.4035,82.3647,0,20
0,5,35.2479,80.726,0,99
1,3,39.8564,75.3587,2,0
1,2,35.6141,88.815,2,80
1,0,39.3167,76.6085,1,43
0,5,40.7268,74.2116,0,28
0,4,35.5076,78.3221,1,28
0,5,37.4717,122.14,0,24
0,4,40.3091,78.9124,0,0
1,1,33.8447,118.307,0,64
1,0,39.1149,85.8929,1,59
0,4,40.0505,75.1554,0,0
0,4,40.7207,74.0593,1,31
0,5,33.4473,111.503,0,16
0,19,29.9861,90.0595,1,97
0,4,39.1788,84.5124,1,33
0,2,40.0521,74.9578,1,7
1,4,42.3613,83.1787,0,11
0,4,39.9204,75.2296,1,0
1,0,40.673,73.7881,1,32
0,4,37.0177,78.1562,1,75
1,2,35.079,89.988,0,91
0,4,42.3481,83.0613,1,6
0,4,41.8968,87.7556,0,8
1,2,36.3474,83.2849,1,35
1,2,35.3998,118.952,0,34
1,3,43.034,83.7182,1,34
1,4,37.0377,76.3859,0,92
1,3,35.0848,89.9678,0,91
0,4,41.8859,87.6251,0,5
0,4,33.749,84.4211,0,56
0,4,43.092,87.94,0,10
1,2,38.1472,122.24,0,14
0,4,39.8401,86.1289,0,96
0,7,36.8459,76.1171,0,82
0,7,33.0354,85.0244,0,132
1,1,34.026,118.461,2,50
0,4,39.955,76.7412,0,0
0,6,38.6647,90.2506,1,76
1,4,41.7904,87.649,1,6
0,5,35.9689,79.9787,0,60
1,3,41.8173,71.4516,1,9
0,4,36.1646,86.7771,1,51
1,3,29.6754,95.5499,0,146
1,3,41.7513,87.6027,0,5
1,3,41.9335,87.7445,0,39
0,6,36.8571,76.2735,0,89
0,5,35.5744,77.3873,1,24
1,4,39.2991,76.5783,0,45
0,4,41.8217,71.4496,0,9
1,4,35.0221,85.2697,0,28
1,3,38.4655,121.459,0,9
1,8,39.0891,94.5518,0,23
0,4,30.0165,90.0689,1,97
1,4,36.841,76.1371,0,85
1,3,39.0914,94.5484,0,23
1,4,41.7621,87.6152,0,32
1,2,36.4144,118.925,1,23
0,6,41.9691,87.6548,0,13
